Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-symptom.json	15131	-	0	0	0	0	0	0	27	109	0	0	0	0	0	0	0	1	0	0	17	131	326	0	0	0	4	0	5
fsh-generated/resources/CapabilityStatement-mii-cps-symptom-capabilitystatement.json	27819	11	0	0	2	0	0	0	4	42	0	0	0	0	0	0	0	0	0	0	9	95	108	0	0	0	3	0	1
fsh-generated/resources/Condition-mii-exa-symptom-vitreoretinochoroidopathy.json	899	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	11	29	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-symptom-arachnodactyly.json	516	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	6	22	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-symptom-chestpain.json	570	2	0	0	0	0	0	0	0	2117	0	0	0	0	0	0	0	0	0	0	5	7	13	0	0	0	0	0	0
fsh-generated/resources/Patient-example-patient.json	202	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	5	16	0	0	0	0	0	1
fsh-generated/resources/Patient-example.json	190	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-lm-symptom.json	35471	14	0	86	0	0	1	1	0	625	0	0	1	0	0	0	0	2	0	0	8	556	1522	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-mii-pr-symptom-condition.json	6928	6	0	79	0	0	0	0	1	86	0	0	0	0	0	0	0	1	0	0	1	350	1732	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-mii-pr-symptom-observation.json	5519	5	0	75	0	0	0	0	0	62	0	0	1	0	0	0	0	1	0	0	1	306	714	0	0	0	12	0	0
input/resources/Parameters-expansion-manifest.json	512	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	5	19	566	0	0	0	0	0	0
/input/includes/menu.xml	3100	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	726	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-symptom-condition-intro.md	11058	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
